# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Aug  2 01:24:21 2025
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_tefferr1:    Stellar Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Stellar Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Stellar Effective Temperature Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar Radius]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar Radius]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
#
pl_name,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,sy_dist,sy_disterr1,sy_disterr2
11 Com b,323.21000000000,0.06000000000,-0.05000000000,0,12.20000000,,,0,4914.89848585,39.09289406,-39.72855088,0,,,,,G8 III,4874.00,,,0,13.760000,2.850000,-2.450000,0,93.18460000,1.92380000,-1.92380000
11 UMi b,516.21997000000,3.20000000000,-3.20000000000,0,12.30000000,,,0,4684.81420000,794.57500000,-794.57500000,0,,,,,K4 III,4213.00,46.00,-46.00,0,29.790000,2.840000,-2.840000,0,125.32100000,1.97650000,-1.97650000
14 And b,186.76000000000,0.11000000000,-0.12000000000,0,13.10000000,,,0,1131.15130051,36.23243840,-38.77506565,0,,,,,K0 III,4888.00,,,0,11.550000,1.120000,-0.510000,0,75.43920000,0.71400000,-0.71400000
14 Her b,1765.03890000000,1.67709000000,-1.87256000000,0,12.60000000,,,0,2559.47216157,518.69596022,-280.64248338,0,,,,,K0V,5338.00,25.00,-25.00,0,0.930000,0.010000,-0.010000,0,17.93230000,0.00730000,-0.00730000
16 Cyg B b,798.50000000000,1.00000000000,-1.00000000000,0,13.50000000,,,0,565.73740000,25.42640000,-25.42640000,0,,,,,G3 V,5750.00,8.00,-8.00,0,1.130000,0.010000,-0.010000,0,21.13970000,0.01100000,-0.01110000
17 Sco b,578.38000000000,2.01000000000,-2.09000000000,0,12.90000000,,,0,1373.01871824,47.67426105,-38.13940884,0,,,,,K3 III,4157.00,11.00,-10.00,0,25.920000,0.780000,-0.740000,0,124.95300000,2.59000000,-2.59000000
18 Del b,982.85000000000,1.06000000000,-0.92000000000,0,12.50000000,,,0,2926.24614325,50.85254512,-24.47278734,0,,,,,G6 III,4980.00,,,0,8.800000,0.610000,-0.400000,0,76.22200000,0.62170000,-0.62170000
1RXS J160929.1-210524 b,,,,,18.64700000,,,0,3000.00000000,300.00000000,-300.00000000,0,1700.00,100.00,-100.00,0,K7 V,4060.00,300.00,-200.00,0,1.313160,0.176833,-0.102363,0,139.13500000,1.33200000,-1.30700000
24 Boo b,30.33000000000,0.00000000000,-0.01000000000,0,13.90000000,,,0,280.64248338,11.44182265,-13.66662150,0,,,,,G3 IV,4816.00,,,0,12.190000,1.450000,-1.280000,0,95.98630000,0.63685000,-0.63685000
24 Sex b,452.80000000000,2.10000000000,-4.50000000000,0,13.40000000,,,0,632.46000000,82.63000000,-120.77000000,0,,,,,K0 IV,5098.00,44.00,-44.00,0,4.900000,0.080000,-0.080000,0,72.06910000,0.68540000,-0.67280000
24 Sex c,883.00000000000,32.40000000000,-13.80000000000,0,13.90000000,,,0,273.32000000,111.24000000,-69.92000000,0,,,,,K0 IV,5098.00,44.00,-44.00,0,4.900000,0.080000,-0.080000,0,72.06910000,0.68540000,-0.67280000
2M0437 b,,,,,13.00000000,,,0,1271.31362800,317.82840700,-317.82840700,0,1450.00,50.00,-50.00,0,M V,3100.00,100.00,-100.00,0,0.840000,0.110000,-0.110000,0,128.48400000,1.19600000,-1.17400000
2MASS J01033563-5515561 AB b,,,,,12.30000000,,,0,4131.79000000,317.83000000,-317.83000000,0,,,,,M5.5/M6,,,,,,,,,47.20000000,3.10000000,-3.10000000
2MASS J01225093-2439505 b,,,,,11.20900000,,,0,7786.50000000,794.50000000,-794.50000000,0,1600.00,100.00,-100.00,0,M3.5 V,3530.00,50.00,-50.00,0,0.366450,0.011155,-0.011155,0,33.82810000,0.08640000,-0.08600000
2MASS J02192210-3925225 b,,,,,16.14096000,0.33627000,-0.33627000,0,4417.83700000,349.61300000,-349.61300000,0,,,,,M6,3064.00,76.00,-76.00,0,0.281000,0.013000,-0.013000,0,40.08964117,0.19404958,-0.19404958
2MASS J0249-0557 c,,,,,12.40000000,,,0,3686.80952120,413.17692910,-317.82840700,0,,,,,M6 V,2859.00,157.00,-157.00,0,0.315959,0.009624,-0.009624,0,66.06130000,0.45430000,-0.44820000
2MASS J03590986+2009361 b,,,,,12.20000000,,,0,5720.91132600,317.82840700,-317.82840700,0,2369.00,21.00,-5.00,0,,2943.00,157.00,-157.00,0,0.289776,0.010070,-0.010070,0,117.43500000,2.32000000,-2.23300000
2MASS J04414489+2301513 b,,,,,12.60000000,,,0,2383.60000000,794.50000000,-794.50000000,0,,,,,M8.5,2936.00,182.00,-182.00,0,0.231916,0.011553,-0.011553,0,120.42398696,5.47834170,-5.47834170
2MASS J11011926-7732383 b,,,,,11.90000000,,,0,8899.19539600,3178.28407000,-2224.79884900,0,2677.00,78.00,-76.00,0,,,,,,,,,,,,
2MASS J11550485-7919108 b,,,,,12.10000000,,,0,6356.56814000,317.82840700,-317.82840700,0,2506.00,2.00,-2.00,0,,3021.00,157.00,-157.00,0,0.600455,0.017923,-0.017923,0,100.86200000,0.60300000,-0.59600000
2MASS J12073346-3932539 b,,,,,12.90000000,,,0,1589.15000000,635.66000000,-635.66000000,0,1250.00,200.00,-200.00,0,M8,2825.00,157.00,-157.00,0,0.218870,0.006976,-0.006976,0,64.30800000,0.65690000,-0.64400000
2MASS J19383260+4603591 b,406.00000000000,4.00000000000,-4.00000000000,0,13.40000000,,,0,603.87700000,31.78300000,-31.78300000,0,,,,,,29564.00,,,0,0.203000,0.001000,-0.001000,0,396.33200000,6.38850000,-6.38850000
2MASS J21252752-8138278 b,,,,,12.40000000,,,0,3813.94088400,317.82840700,-317.82840700,0,1616.00,32.00,-3.00,0,,3592.00,157.00,-157.00,0,0.672832,0.020973,-0.020973,0,34.11540000,0.08110000,-0.08070000
2MASS J22362452+4751425 b,,,,,12.30000000,,,0,3972.87500000,476.74500000,-476.74500000,0,,,,,K7 V,4045.00,35.00,-35.00,0,0.641152,0.060021,-0.062602,0,69.57370000,0.15920000,-0.15850000
30 Ari B b,335.10001000000,2.50000000000,-2.50000000000,0,12.30000000,,,0,4392.41060000,572.09400000,-572.09400000,0,,,,,F6 V,6331.00,61.00,-61.00,0,1.410000,0.050000,-0.050000,0,44.65700000,0.10390000,-0.10340000
4 UMa b,270.27000000000,0.24000000000,-0.09000000000,0,12.60000000,,,0,2511.48007211,63.24785299,-120.13913785,0,,,,,K1 III,4415.00,70.00,-70.00,0,18.110000,1.470000,-1.470000,0,73.46030000,1.18605000,-1.18605000
47 UMa b,1078.00000000000,2.00000000000,-2.00000000000,0,13.20000000,,,0,804.08000000,22.25000000,-19.07000000,0,,,,,G0V,5872.00,92.94,-113.53,0,1.213340,0.038883,-0.058353,0,13.79670000,0.02890000,-0.02890000
47 UMa c,2391.00000000000,100.00000000000,-87.00000000000,0,14.20000000,,,0,171.62100000,20.97600000,-23.20100000,0,,,,,G0V,5872.00,92.94,-113.53,0,1.213340,0.038883,-0.058353,0,13.79670000,0.02890000,-0.02890000
47 UMa d,14002.00000000000,4018.00000000000,-5095.00000000000,0,13.50000000,,,0,521.22000000,92.17000000,-152.55000000,0,,,,,G0V,5872.00,92.94,-113.53,0,1.213340,0.038883,-0.058353,0,13.79670000,0.02890000,-0.02890000
51 Eri b,11688.00000000000,6209.25000000000,-3287.25000000000,0,13.40000000,,,0,635.66000000,,,0,700.00,,,0,F0 IV,7295.00,120.09,-98.99,0,1.487260,0.045434,-0.055079,0,29.75750000,0.12130000,-0.12030000
51 Peg b,4.23078500000,0.00003600000,-0.00003600000,0,14.30000000,,,0,146.20180000,19.06980000,-3.17830000,0,,,,,G5V,5758.00,101.62,-119.62,0,1.175610,0.067361,-0.035328,0,15.46140000,0.02970000,-0.02970000
55 Cnc b,14.65160000000,0.00010000000,-0.00010000000,0,13.90000000,,,0,263.97850000,1.04880000,-1.04880000,0,700.00,,,0,G8V,5172.00,18.00,-18.00,0,0.943000,0.010000,-0.010000,0,12.58550000,0.01240000,-0.01230000
55 Cnc c,44.39890000000,0.00420000000,-0.00430000000,0,8.51000000,,,0,54.47380000,1.74800000,-1.74800000,0,,,,,G8V,5172.00,18.00,-18.00,0,0.943000,0.010000,-0.010000,0,12.58550000,0.01240000,-0.01230000
55 Cnc d,5574.20000000000,93.80000000000,-88.60000000000,0,13.00000000,,,0,1232.49300000,21.61200000,-21.61200000,0,,,,,G8V,5172.00,18.00,-18.00,0,0.943000,0.010000,-0.010000,0,12.58550000,0.01240000,-0.01230000
55 Cnc e,0.73654740000,0.00000130000,-0.00000140000,0,1.87500000,0.02900000,-0.02900000,0,7.99000000,0.32000000,-0.33000000,0,1958.00,15.00,-15.00,0,G8V,5172.00,18.00,-18.00,0,0.943000,0.010000,-0.010000,0,12.58550000,0.01240000,-0.01230000
55 Cnc f,259.88000000000,0.29000000000,-0.29000000000,0,7.59000000,,,0,44.81200000,3.81400000,-3.81400000,0,,,,,G8V,5172.00,18.00,-18.00,0,0.943000,0.010000,-0.010000,0,12.58550000,0.01240000,-0.01230000
6 Lyn b,919.86000000000,1.92000000000,-3.71000000000,0,13.40000000,,,0,597.83523357,12.07747947,-28.28672822,0,,,,,K0 IV,4941.00,,,0,4.940000,0.550000,-0.500000,0,54.65990000,0.27340000,-0.27340000
61 Vir b,4.21500000000,0.00060000000,-0.00060000000,0,2.11000000,,,0,5.10000000,0.50000000,-0.50000000,0,,,,,G5 V,5577.00,33.00,-33.00,0,0.963000,0.011000,-0.011000,0,8.50332000,0.01737000,-0.01730000
61 Vir c,38.02100000000,0.03400000000,-0.03400000000,0,4.46000000,,,0,18.20000000,1.10000000,-1.10000000,0,,,,,G5 V,5577.00,33.00,-33.00,0,0.963000,0.011000,-0.011000,0,8.50332000,0.01737000,-0.01730000
61 Vir d,123.01000000000,0.55000000000,-0.55000000000,0,5.11000000,,,0,22.90000000,2.60000000,-2.60000000,0,,,,,G5 V,5577.00,33.00,-33.00,0,0.963000,0.011000,-0.011000,0,8.50332000,0.01737000,-0.01730000
7 CMa b,735.10000000000,14.80000000000,-1.00000000000,0,13.40000000,,,0,587.98550000,19.06980000,-19.06980000,0,,,,,K1III(+M),4826.00,45.00,-55.00,0,4.870000,0.170000,-0.140000,0,19.81010000,0.16480000,-0.16480000
7 CMa c,996.00000000000,1.50000000000,-52.40000000000,0,13.90000000,,,0,276.51210000,19.06980000,-19.06980000,0,,,,,K1III(+M),4826.00,45.00,-55.00,0,4.870000,0.170000,-0.140000,0,19.81010000,0.16480000,-0.16480000
70 Vir b,116.68800000000,0.00540000000,-0.00540000000,0,12.60000000,,,0,2380.45000000,193.87000000,-193.87000000,0,,,,,G5V,5495.00,,,0,1.890000,,,0,17.90110000,0.05600000,-0.05570000
75 Cet b,696.62000000000,1.33000000000,-1.69000000000,0,13.30000000,,,0,787.89662095,23.51930212,-28.60455663,0,,,,,G3 III,4809.00,,,0,10.380000,0.150000,-0.260000,0,82.96130000,0.72365000,-0.72365000
75 Cet c,2051.62000000000,45.98000000000,-40.47000000000,0,13.90000000,,,0,289.85950718,27.96889982,-45.44946220,0,,,,,G3 III,4809.00,,,0,10.380000,0.150000,-0.260000,0,82.96130000,0.72365000,-0.72365000
8 UMi b,93.40000000000,4.50000000000,-4.50000000000,0,13.60000000,,,0,416.35730000,50.85280000,-50.85280000,0,,,,,K0,4847.00,7.00,-7.00,0,10.300000,0.570000,-0.570000,0,162.55200000,0.65100000,-0.64600000
81 Cet b,1005.57000000000,1.84000000000,-1.94000000000,0,13.10000000,,,0,1051.05854195,24.79061575,-21.29450327,0,,,,,G5 III,4734.00,,,0,11.210000,0.810000,-0.350000,0,101.26000000,1.22200000,-1.22200000
91 Aqr b,181.40000000000,0.10000000000,-0.10000000000,0,13.10000000,,,0,1017.00000000,,,0,,,,,K0 III,4665.00,18.00,-18.00,0,11.000000,0.100000,-0.100000,0,44.03040000,0.51325000,-0.51325000
AB Aur b,,,,,12.50000000,,,0,2860.45566300,,,0,,,,,,9770.00,100.00,-100.00,0,2.958870,0.096638,-0.070698,0,162.12700000,1.52600000,-1.49800000
